hashkey,score,dict_str
14897f7b1d182d2d941bad50012d9e64,0.7800833582878113,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 1, 1, 3], [1, 1, 3, 2], [0, 2, 5, 3], [2, 0, 2, 4]]}"
9851ac273b2985653e8521350825a22e,0.41447916626930237,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[1, 0, 2, 3], [2, 1, 3, 2], [0, 1, 6, 2], [0, 0, 3, 2], [3, 2, 3, 0.3963417091156498], [4, 2, 5, 0.4126027451396755], [4, 1, 8, 0.41882066391298106], [4, 1, 4, 0.2152709747196412]]}"
95a81ce7b89a1b352e8e41931cfe335c,0.6810416579246521,"{'1d_start': 3, 'opt': 'adam', 'layers': [[2, 2, 2, 2], [1, 1, 3, 2], [0, 2, 5, 3], [4, 0, 4, 0.4362649628402122]]}"
d002cd82f497b249320c241a7ceb037e,0.7379791736602783,"{'1d_start': 5, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [1, 1, 3, 2], [0, 2, 3, 2], [0, 2, 6, 4]]}"
c019d5abb04ddd0e875ffa0f0532634f,0.7603958249092102,"{'1d_start': 5, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [0, 0, 5, 3], [0, 2, 3, 2], [1, 2, 3, 3]]}"
04f1614e39a85ac10e4739a75c29ff15,0.6615833044052124,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [1, 1, 3, 2], [3, 2, 2, 0.4412308727449915], [4, 2, 4, 0.40360710537671857]]}"
d06a276b50af0938be27c5b7963657b0,0.8152083158493042,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 1, 3, 2], [0, 2, 5, 3], [2, 0, 2, 4]]}"
172959bcbfb7e11d1a4214e77970bc04,0.7498124837875366,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[0, 0, 3, 4], [1, 1, 3, 2], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
291568f2dde9e1068f2252959bbb67cb,0.5723958611488342,"{'1d_start': 5, 'opt': 'SGD', 'layers': [[2, 2, 2, 3], [0, 0, 3, 4], [0, 0, 5, 3], [0, 2, 3, 2], [1, 2, 3, 3]]}"
009018d62e6517ad9e12fb9d730a0a4b,0.8059791922569275,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [0, 1, 3, 2], [4, 1, 4, 0.5023710429780133], [3, 0, 8, 0.7566094240388855]]}"
e140866679eb9e529a239339d027e2eb,0.8114166855812073,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[0, 0, 3, 4], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
6cd9fc179a7627d609ab1779c57d8331,0.7016249895095825,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [2, 0, 3, 2], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
ca96833daf9ab02386b08a300040956b,0.805062472820282,"{'1d_start': 2, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
c91eb5e99a7efc0a6285e27f6744637c,0.8252708315849304,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
d8b40bdd5f2da6d5c4fc50db88cb21d0,0.8233749866485596,"{'1d_start': 1, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [4, 2, 1, 0.41825607948831833], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
ff0406a512ac2837584ade529ebc7489,0.7698333263397217,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [1, 2, 2, 2], [0, 0, 5, 3], [4, 2, 3, 0.8535451896964015], [4, 2, 4, 0.40360710537671857]]}"
2ba5c2a1b0c2ca9c99fce79d5769631d,0.7571458220481873,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 1, 3, 2], [0, 2, 5, 3], [1, 1, 3, 2]]}"
9f1911ec06c322331bbe076d6c5fbc7b,0.7600208520889282,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[1, 2, 2, 2], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
8996f08cb3805d56497023789fa98463,0.793541669845581,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 1, 1, 3], [2, 1, 3, 3], [0, 2, 5, 3], [2, 0, 2, 4]]}"
8834fc95170e7344d54fb95bd589d15c,0.7334791421890259,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[0, 0, 3, 4], [1, 0, 3, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
321d3227949848223575cbdaf0675f7a,0.6509791612625122,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [1, 2, 2, 2], [0, 0, 5, 3], [0, 1, 1, 4], [4, 2, 4, 0.40360710537671857], [4, 1, 7, 0.35442866012278884]]}"
6564d51ba45942115ed38534f7c7bc9d,0.757687509059906,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [2, 2, 3, 3], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
8b18c501e5f1ee18acb7395e847a937f,0.8555208444595337,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [2, 2, 2, 2], [0, 1, 3, 2], [4, 1, 4, 0.5023710429780133], [3, 0, 8, 0.7566094240388855]]}"
059ce07b13399f8a48acb0d9bfad0268,0.7883333563804626,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [1, 2, 2, 2], [0, 0, 5, 3], [0, 2, 3, 2], [4, 1, 6, 0.008787017655097795]]}"
3dc863d2977cd5cf296e6af9583ff851,0.7785208225250244,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 1, 3, 2], [0, 2, 5, 3], [1, 2, 2, 2]]}"
e32a4d4fccf837d15e7cba1c924cc4b0,0.8018125295639038,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857], [3, 2, 6, 0.04526609900261979]]}"
ad40c1b3c46d8ce53538671212efeac5,0.7816874980926514,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [0, 1, 3, 2], [4, 0, 7, 0.7320403095741798], [3, 0, 8, 0.7566094240388855]]}"
